Product Name,Price,Discount,Brand,Product URL,Image URL,Image Name
performax,599,419,https://trends.ajio.com/performax-typographic-print-crew-neck-t-shirt/p/441134762_ltblue,https://assets.ajio.com/medias/sys_master/root/20220428/HrNA/62698d9aaeb26921af471bb4/-286Wx359H-441134762-ltblue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220428_hrna_62698d9aaeb26921af471bb4_-286wx359h-441134762-....png,
teamspirit,999,709,https://trends.ajio.com/teamspirit-checked-track-pants-with-drawstring/p/441133895_steelgrey,https://assets.ajio.com/medias/sys_master/root/20220318/FtcO/62338cbbaeb26921afe176b6/-286Wx359H-441133895-steelgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220318_ftco_62338cbbaeb26921afe176b6_-286wx359h-441133895-....png,
puma,"1,499","1,049",https://trends.ajio.com/puma-thong-strap-sandals-with-logo-print/p/450136309_blklime,https://assets.ajio.com/medias/sys_master/root/20200925/YqIf/5f6ced9f7cdb8c21e36b8689/-286Wx359H-450136309-blklime-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20200925_yqif_5f6ced9f7cdb8c21e36b8689_-286wx359h-450136309-....png,
performax,999,599,https://trends.ajio.com/performax-quick-dry-thumb-hole-polo-t-shirt/p/441129812_ltgrey,https://assets.ajio.com/medias/sys_master/root/20220107/NqEL/61d86040f997dd6623154513/-286Wx359H-441129812-ltgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220107_nqel_61d86040f997dd6623154513_-286wx359h-441129812-....png,
performax,799,400,https://trends.ajio.com/performax-heathered-bermuda-with-insert-pockets/p/441129781_olive,https://assets.ajio.com/medias/sys_master/root/20220217/oRcm/620d4797aeb26921af9b8a5f/-286Wx359H-441129781-olive-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220217_orcm_620d4797aeb26921af9b8a5f_-286wx359h-441129781-....png,
teamspirit,549,461,https://trends.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441133210_darkblue,https://assets.ajio.com/medias/sys_master/root/20211207/8Q3X/61ae6183aeb2690110f6f479/-286Wx359H-441133210-darkblue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211207_8q3x_61ae6183aeb2690110f6f479_-286wx359h-441133210-....png,
performax,499,499,https://trends.ajio.com/performax-crew-neck-t-shirt-with-raglan-sleeves/p/441144578_olive,https://assets.ajio.com/medias/sys_master/root/20220614/SLMY/62a796e1aeb26921af202666/-286Wx359H-441144578-olive-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220614_slmy_62a796e1aeb26921af202666_-286wx359h-441144578-....png,
performax,699,350,https://trends.ajio.com/performax-heathered-crew-neck-t-shirt-with-contrast-taping/p/441129800_teal,https://assets.ajio.com/medias/sys_master/root/20220217/a1G0/620d4792f997dd03e2d36f86/-286Wx359H-441129800-teal-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220217_a1g0_620d4792f997dd03e2d36f86_-286wx359h-441129800-....png,
teamspirit,399,335,https://trends.ajio.com/teamspirit-heathered-crew-neck-t-shirt/p/441000453_red,https://assets.ajio.com/medias/sys_master/root/h97/h0d/13480454914078/-286Wx359H-441000453-red-MODEL.jpg,assets_ajio_com_medias_sys_master_root_h97_h0d_13480454914078_-286wx359h-441000453-red-model_jpg.png,
performax,"1,499",750,https://trends.ajio.com/performax-cuffed-joggers-with-insert-pockets/p/441129824_jetblack,https://assets.ajio.com/medias/sys_master/root/20220107/BThE/61d85f03aeb2695cdd09ad1d/-286Wx359H-441129824-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220107_bthe_61d85f03aeb2695cdd09ad1d_-286wx359h-441129824-....png,
performax,599,419,https://trends.ajio.com/performax-graphic-print-crew-neck-t-shirt/p/441134756_jetblack,https://assets.ajio.com/medias/sys_master/root/20220408/Eo3f/624f4328aeb26921af118d6d/-286Wx359H-441134756-jetblack-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220408_eo3f_624f4328aeb26921af118d6d_-286wx359h-441134756-....png,
performax,"1,499",750,https://trends.ajio.com/performax-straight-running-track-pants-with-insert-pockets/p/441129541_darkblue,https://assets.ajio.com/medias/sys_master/root/20220208/btS1/62016aa4aeb26921af8d4e4a/-286Wx359H-441129541-darkblue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220208_bts1_62016aa4aeb26921af8d4e4a_-286wx359h-441129541-....png,
teamspirit,799,519,https://trends.ajio.com/teamspirit-heathered-joggers-with-insert-pockets/p/441132354_teal,https://assets.ajio.com/medias/sys_master/root/20211217/PwUV/61bcaac9aeb269011011003d/-286Wx359H-441132354-teal-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211217_pwuv_61bcaac9aeb269011011003d_-286wx359h-441132354-....png,
